group,d_sample,theta_pool,phi_pool,ratio,fbar,c,d_pool,d_clonal,theta_clonal,phi_clonal
boot_9,0.004545020515338695,0.09126288056059395,0.3008756969663003,3.296802545768145,1576.2195878513503,0.05648364121219102,0.08136239218689192,1.1520294840327161e-05,1.1520471799302932e-05,3.798072075639203e-05
boot_10,0.0044950328968274625,0.0931661352825738,0.45585676626794946,4.892944897685532,1334.6113574973044,0.05488729925360863,0.08287168867202307,8.893303650651196e-06,8.893409106368092e-06,4.35149607100338e-05
boot_11,0.004869948396340961,0.09371689190403655,0.38102413961586257,4.065693301118229,1256.7447698388883,0.05912866569150762,0.08330717282358482,1.2299462735914889e-05,1.229966444160084e-05,5.0006663326218614e-05
boot_12,0.00451333388342996,0.09320805338157442,0.3532019463781812,3.789393014488198,1286.9483132600258,0.055054198765077736,0.08290485338207088,1.1946832965906491e-05,1.1947023271361774e-05,4.5271966528426244e-05
boot_13,0.004513358576628005,0.09223240902609074,0.29752033602922495,3.2257678095024307,1377.4814076460898,0.05555048325375865,0.08213208851646692,1.3237020554118138e-05,1.3237254183192407e-05,4.270030843034345e-05
boot_14,0.004487491226731883,0.05652615933962869,0.006428345508774355,0.11372337310501912,299999.6584076179,0.08607072507248961,0.052564469253463,2.7604022951712127e-06,2.7604124549697146e-06,3.139234155402626e-07
boot_15,0.004687619721206995,0.054734598487071975,0.006011778542932025,0.10983507158368898,288607.4420663189,0.0926164291181983,0.05101178567751547,3.2199457725954967e-06,3.219959596722552e-06,3.536644928026078e-07
boot_16,0.004679833051574134,0.09450524108819518,0.3478570659668995,3.6808230100409847,1200.992266542106,0.056385068213459455,0.08392953337366464,1.3517119695676821e-05,1.3517363316767385e-05,4.975502193144132e-05
boot_17,0.0048597817366660715,0.09071261314002779,0.2915086811766188,3.2135407754887826,1652.1321967533493,0.06071994159697168,0.08092475215866558,1.2176083940471182e-05,1.2176281619707294e-05,3.912897747876398e-05
boot_18,0.004866643655569015,0.09399786078234303,0.3567532643929639,3.7953338663636695,1343.177451043032,0.058933733534331914,0.08352911643805454,1.228458164609517e-05,1.2284782863985967e-05,4.662485244461001e-05
boot_19,0.004650759521931746,0.05853554252316209,0.009613846951338913,0.164239478049337,297859.6870945178,0.08639523589659952,0.05429774522387668,1.9330458449814997e-06,1.9330508272159928e-06,3.174832589047938e-07
