group,sample_d,theta,phi,fbar,ratio,rho,sample_theta,sample_rho
boot_122,0.0143574642447,0.0378338098549,0.158828378359,1059.7057208,4.1980540413,168.311341173,8.53030113399e-05,0.379487667243
boot_123,0.014332334258,0.0351491872981,0.134235918046,1074.02771117,3.81903333661,144.173095816,9.94106020741e-05,0.407757201793
boot_124,0.0143043717488,0.0360867646818,0.153276830983,1112.08431337,4.2474528358,170.456759339,8.39178909905e-05,0.396388312307
boot_125,0.0143831622094,0.0361407988768,0.136631760757,953.850956889,3.78054069093,130.326335739,0.000110362668664,0.397975768562
boot_126,0.014369011143,0.0353822673915,0.132232410176,1435.46724171,3.73725088652,189.815293099,7.56999655212e-05,0.406107697509
boot_127,0.0142285462894,0.0349064233247,0.138579290484,944.946405623,3.97002262865,130.950002437,0.00010865632703,0.407619713914
boot_128,0.0144588104279,0.0371470997767,0.138131815175,1198.56019991,3.71850873973,165.559296011,8.73331233959e-05,0.389231205525
boot_129,0.0144528248619,0.0365187908784,0.157747412805,1422.10245726,4.31962310391,224.332983376,6.44257685356e-05,0.395764057742
boot_13,0.0143784601023,0.0376498182882,0.158975247306,1102.72056381,4.22247050674,175.305274341,8.20195522141e-05,0.381899853864
boot_130,0.0143745016826,0.0372683338497,0.142455383834,1601.22629089,3.82242427065,228.103305873,6.30175070353e-05,0.385702825906
boot_131,0.0143614369005,0.037448881297,0.142433768469,1297.04164994,3.80341851442,184.742530062,7.77375783239e-05,0.383494417005
boot_132,0.014260882586,0.034347561578,0.140960044286,903.23617423,4.10393162745,127.32021112,0.000112008002976,0.415193449864
boot_133,0.0145849099736,0.0369599196977,0.138227845835,839.616701982,3.73993901951,116.058408042,0.000125668706125,0.394614222458
boot_134,0.0144554696421,0.0369905761322,0.157237042569,848.239693697,4.25073245701,133.374700826,0.000108382396006,0.390787902044
boot_135,0.0142972141977,0.036314099859,0.144626086221,1050.65595963,3.98264274161,151.952259407,9.4090171831e-05,0.393709723034
boot_136,0.0142762742418,0.0355085604099,0.147807494149,844.380027585,4.16258762516,124.805695987,0.000114388002317,0.402051620144
boot_137,0.0142443614655,0.0343209229208,0.130341549502,947.099753877,3.79772856931,123.446449453,0.000115388992787,0.415034336295
boot_138,0.0141238289142,0.0335940779832,0.145490829995,721.508061939,4.3308475401,104.97280678,0.000134547501848,0.420426151338
boot_139,0.0144141162664,0.0364064785822,0.127063647449,1437.9503234,3.49013835992,182.711212942,7.88901569548e-05,0.395921737771
boot_14,0.0142275317954,0.0347337847465,0.126936021222,943.386975723,3.65454044668,119.749789171,0.000118810495566,0.409616513122
